"","mixture_collection","indiv","repunit","collection","PofZ","log_likelihood","z_score","n_non_miss_loci","n_miss_loci","missing_loci"
"31","krista","gtseq3_H-14-MI-V0250","miniatus","miniatus","1","-115.838340852659","-11.1345614103764","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_162.1 = 26, tag_id_1652.1 = 27, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_843.1 = 82, tag_id_874.1 = 84, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"32","krista","gtseq3_H-14-MI-V0253","miniatus","miniatus","1","-33.6912172856476","-1.96450302948535","57","33","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, Plate_4_G06_Sat_EW976181_consensus.1 = 8, tag_id_108.2 = 10, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_162.1 = 26, tag_id_1652.1 = 27, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1880.1 = 39, tag_id_1889.1 = 40, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, 
tag_id_2635.1 = 71, tag_id_410.1 = 75, tag_id_770.1 = 80, tag_id_788.1 = 81, tag_id_843.1 = 82, tag_id_874.1 = 84, tag_id_875.1 = 85, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"33","krista","gtseq3_H-14-MI-V0254","miniatus","miniatus","1","-52.7146497268778","-2.11639955743593","83","7","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_942.1 = 88)"
"34","krista","gtseq3_H-14-MI-V0255","miniatus","miniatus","1","-48.7887967074656","-1.88357402142989","76","14","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"35","krista","gtseq3_H-14-MI-V0256","miniatus","miniatus","1","-47.0011225640442","-1.64433600173769","79","11","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_942.1 = 88)"
"36","krista","gtseq3_H-14-MI-V0258","miniatus","miniatus","1","-28.099917773152","-0.138016707684345","64","26","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_1966.2 = 44, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_770.1 = 80, tag_id_855.1 = 83, tag_id_874.1 = 84, 
tag_id_875.1 = 85, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"37","krista","gtseq3_H-14-MI-V0260","miniatus","miniatus","1","-46.987060958733","-1.85005552613717","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_770.1 = 80, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"38","krista","gtseq3_H-14-MI-V0262","miniatus","miniatus","1","-123.176751403356","-12.2954576474317","69","21","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1880.1 = 39, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"39","krista","gtseq3_H-14-MI-V0263","miniatus","miniatus","1","-25.4196218510825","0.528601306050615","70","20","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1966.2 = 44, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_875.1 = 85, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88)"
"40","krista","gtseq3_H-14-MI-V0264","miniatus","miniatus","1","-111.178338680492","-10.4078215037086","69","21","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"41","krista","gtseq3_H-14-MI-V0269","miniatus","miniatus","1","-121.182873529213","-12.2893455855456","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_2008.1 = 48, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"42","krista","gtseq3_H-14-MI-V0270","miniatus","miniatus","1","-103.230375754704","-9.28756588938984","72","18","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
